SCINAME,SCINAME,years_fall,years_spring,SVSPP,ITISSPP,COMNAME,AUTHOR,order,order_common,type,depth_profile
HIPPOGLOSSUS.HIPPOGLOSSUS,HIPPOGLOSSUS HIPPOGLOSSUS,33,34,101,172933,ATLANTIC HALIBUT,"(Linnaeus, 1758)",pleuronectiformes,flatfishes,fish,benthic
HOMARUS.AMERICANUS,HOMARUS AMERICANUS,34,34,301,97314,AMERICAN LOBSTER,"H. Milne-Edwards, 1837",decapods,decapods,invert,pelagic
ILLEX.ILLECEBROSUS,ILLEX ILLECEBROSUS,34,34,502,82521,NORTHERN SHORTFIN SQUID,"(Lesueur, 1821)",oegopsida,squid,squid,pelagic
LAGODON.RHOMBOIDES,LAGODON RHOMBOIDES,24,22,640,169187,PINFISH,"(Linnaeus, 1766)",perciformes,perch like,fish,demersal
LARIMUS.FASCIATUS,LARIMUS FASCIATUS,31,18,651,169269,BANDED DRUM,"Holbrook, 1855",perciformes,perch like,fish,demersal
LEIOSTOMUS.XANTHURUS,LEIOSTOMUS XANTHURUS,33,31,149,169267,SPOT,"Lacepede, 1802",perciformes,perch like,fish,demersal
LEPOPHIDIUM.PROFUNDORUM,LEPOPHIDIUM PROFUNDORUM,34,34,194,164831,FAWN CUSK-EEL,"(Gill, 1863)",anguilliformes,eels and morays ,fish,demersal
LEUCORAJA.ERINACEA,LEUCORAJA ERINACEA,34,34,26,564130,LITTLE SKATE,"(Mitchill, 1825)",rajiformes,rays,fish,demersal
LEUCORAJA.GARMANI,LEUCORAJA GARMANI,34,34,25,564136,ROSETTE SKATE,"(Whitley, 1939)",rajiformes,rays,fish,demersal
LEUCORAJA.OCELLATA,LEUCORAJA OCELLATA,34,34,23,564145,WINTER SKATE,"(Mitchill, 1815)",rajiformes,rays,fish,demersal
LIMANDA.FERRUGINEA.,LIMANDA FERRUGINEA ,34,34,105,172909,YELLOWTAIL FLOUNDER,NA,pleuronectiformes,flatfishes,fish,benthic
LIMULUS.POLYPHEMUS,LIMULUS POLYPHEMUS,33,34,318,82703,HORSESHOE CRAB,NA,xiphosura,horseshoe crab,invert,benthic
LIPARIS.ATLANTICUS,LIPARIS ATLANTICUS,18,21,170,167576,ATLANTIC SEASNAIL,"(Jordan and Evermann, 1898)",gastropod,snail,invert,
LITHODES.MAJA,LITHODES MAJA,34,31,324,97943,NORTHERN STONE CRAB,"(Linnaeus, 1758)",decapods,decapods,invert,
LOLIGO.PEALEII,LOLIGO PEALEII,34,34,503,82372,LONGFIN SQUID,"Lesueur, 1821",myopsida,squid,squid,pelagic
LOPHIUS.AMERICANUS,LOPHIUS AMERICANUS,34,34,197,164499,GOOSEFISH,"Valenciennes, 1837",lophiiformes,anglerfishes,fish,benthic
LOPHOLATILUS.CHAMAELEONTICEPS,LOPHOLATILUS CHAMAELEONTICEPS,17,22,151,168546,TILEFISH,"Goode and Bean, 1879",perciformes,perch like,fish,demersal
LUMPENUS.MACULATUS,LUMPENUS MACULATUS,21,27,183,171584,DAUBED SHANNY,"(Fries, 1837)",perciformes,perch like,fish,demersal
LYCENCHELYS.VERRILLI,LYCENCHELYS VERRILLI,19,21,190,165242,WOLF EELPOUT,"(Goode and Bean, 1877)",perciformes,perch like,fish,demersal
MACRORHAMPHOSUS.SCOLOPAX,MACRORHAMPHOSUS SCOLOPAX,28,23,111,166423,LONGSPINE SNIPEFISH,"(Linnaeus, 1758) (syn)", syngnathiformes,pipefishes and seahorses,fish,demersal
MACROURIDAE,MACROURIDAE,32,32,90,165332,GRENADIER UNCL,"Gilbert and Hubbs, 1916",gadiformes,cods and allies,fish,demersal
MACROZOARCES.AMERICANUS,MACROZOARCES AMERICANUS,34,34,193,165318,OCEAN POUT,"(Schneider, 1801)",perciformes,perch like,fish,demersal
MAJIDAE,MAJIDAE,27,29,317,98417,SPIDER CRAB UNCL,"Samouelle, 1819",decapods,decapods,invert,
MALACORAJA.SENTA,MALACORAJA SENTA,34,34,27,564151,SMOOTH SKATE,"(Garman, 1885)",rajiformes,rays,fish,demersal
MAUROLICUS.WEITZMANI.,MAUROLICUS WEITZMANI ,32,34,229,622356,WEITZMANS PEARLSIDES,NA,stomiiformes,lightfishes and dragonfishes,fish,pelagic
MELANOGRAMMUS.AEGLEFINUS,MELANOGRAMMUS AEGLEFINUS,34,34,74,164744,HADDOCK,"(Linnaeus, 1758)",gadiformes,cods and allies,fish,demersal
MELANOSTIGMA.ATLANTICUM,MELANOSTIGMA ATLANTICUM,32,33,262,165296,ATLANTIC SOFT POUT,"Koefoed, 1952",perciformes,perch like,fish,demersal
MENTICIRRHUS.AMERICANUS,MENTICIRRHUS AMERICANUS,32,29,652,169274,SOUTHERN KINGFISH,"(Linnaeus, 1758)",perciformes,perch like,fish,demersal
MENTICIRRHUS.SAXATILIS,MENTICIRRHUS SAXATILIS,33,30,146,169276,NORTHERN KINGFISH,"(Bloch and Schneider, 1801)",perciformes,perch like,fish,demersal
MERLUCCIUS.ALBIDUS,MERLUCCIUS ALBIDUS,34,34,69,164793,OFFSHORE HAKE,"(Mitchill, 1818)",gadiformes,cods and allies,fish,demersal
MERLUCCIUS.BILINEARIS,MERLUCCIUS BILINEARIS,34,34,72,164791,SILVER HAKE,"(Mitchill, 1814)",gadiformes,cods and allies,fish,demersal
MICROPOGONIAS.UNDULATUS,MICROPOGONIAS UNDULATUS,33,30,136,169283,ATLANTIC CROAKER,"(Linnaeus, 1766)",perciformes,perch like,fish,demersal
MONOLENE.SESSILICAUDA,MONOLENE SESSILICAUDA,18,17,110,172789,DEEPWATER FLOUNDER,"Goode, 1880",pleuronectiformes,flatfishes,fish,demersal
MORONE.SAXATILIS,MORONE SAXATILIS,25,34,139,167680,STRIPED BASS,"(Walbaum in Artedi, 1792)",perciformes,perch like,fish,demersal
MUSTELUS.CANIS,MUSTELUS CANIS,34,34,13,160230,SMOOTH DOGFISH,"(Mitchill, 1815)",carcharhiniformes,ground sharks ,fish,demersal
MYCTOPHIDAE,MYCTOPHIDAE,34,34,56,162575,LANTERNFISH UNCL,NA,myctophiformes,lanternfish,unclassified,pelagic
MYLIOBATIS.FREMINVILLEI,MYLIOBATIS FREMINVILLEI,33,21,19,160980,BULLNOSE RAY,"Lesueur, 1824 (syn)",myliobatiformes,rays,fish,demersal
MYOXOCEPHALUS.AENAEUS,MYOXOCEPHALUS AENAEUS,30,27,166,167321,GRUBBY,"(Mitchill, 1814)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
MYOXOCEPHALUS.OCTODECEMSPINOSUS,MYOXOCEPHALUS OCTODECEMSPINOSUS,34,34,163,167320,LONGHORN SCULPIN,"(Mitchill, 1814)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
MYXINE.GLUTINOSA,MYXINE GLUTINOSA,34,33,1,159772,ATLANTIC HAGFISH,"Linnaeus, 1758",myxiniformes,hagfishes,fish,demersal
NEMICHTHYS.SCOLOPACEUS,NEMICHTHYS SCOLOPACEUS,18,18,67,161624,SLENDER SNIPE EEL,"Richardson, 1848",anguilliformes,eels and morays ,fish,pelagic
OPHICHTHIDAE,OPHICHTHIDAE,25,21,425,161419,SNAKE EEL UNCL,NA,anguilliformes,eels and morays ,unclassified,demersal
OPHIDION.MARGINATUM,OPHIDION MARGINATUM,31,31,188,164852,STRIPED CUSK-EEL,"(De Kay, 1842)",ophidiiformes,cusk eels,fish,benthic
OVALIPES.OCELLATUS,OVALIPES OCELLATUS,34,27,322,98714,LADY CRAB,"(Herbst, 1799)",decapods,decapods,invert,demersal
OVALIPES.STEPHENSONI,OVALIPES STEPHENSONI,33,24,321,98715,COARSEHAND LADY CRAB,"Williams, 1976",decapods,decapods,invert,demersal
PANDALUS.BOREALIS,PANDALUS BOREALIS,32,24,306,96967,NORTHERN SHRIMP,"Kroyer, 1838",decapods,decapods,invert,pelagic
PANDALUS.MONTAGUI,PANDALUS MONTAGUI,27,21,297,96971,AESOP SHRIMP,"Leach, 1814",decapods,decapods,invert,pelagic
PANDALUS.PROPINQUUS,PANDALUS PROPINQUUS,27,21,298,96986,NA,"G. O. Sars, 1869",decapods,decapods,invert,
PARALEPIDIDAE.,PARALEPIDIDAE ,27,28,896,162463,BARRACUDINAS,NA,aulopiformes,grinners,fish,pelagic
PARALICHTHYS.DENTATUS,PARALICHTHYS DENTATUS,34,34,103,172735,SUMMER FLOUNDER,"(Linnaeus, 1766)",pleuronectiformes,flatfishes,fish,benthic
PARALICHTHYS.OBLONGUS,PARALICHTHYS OBLONGUS,34,34,104,172739,FOURSPOT FLOUNDER,"(Mitchill, 1815)",pleuronectiformes,flatfishes,fish,demersal
PARASUDIS.TRUCULENTA,PARASUDIS TRUCULENTA,26,25,242,162435,LONGNOSE GREENEYE,Goode Bean,aulopiformes,grinners,fish,demersal
PASIPHAEA.MULTIDENTATA,PASIPHAEA MULTIDENTATA,27,22,292,96166,PINK GLASS SHRIMP,"Esmark, 1866",decapods,decapods,invert,pelagic
